City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
89,Waipawa,-41.4122,175.5153,66.2,72,75,20.71,NZ,2021-03-14 22:44:37,broken clouds
90,Aklavik,68.2191,-135.0107,-5.8,59,42,5.75,CA,2021-03-14 22:36:54,scattered clouds
91,Meulaboh,4.1363,96.1285,75.99,86,76,4.85,ID,2021-03-14 22:37:05,broken clouds
92,Kavieng,-2.5744,150.7967,83.17,67,89,3.2,PG,2021-03-14 22:36:18,overcast clouds
93,Isangel,-19.55,169.2667,82.4,83,75,5.64,VU,2021-03-14 22:37:09,broken clouds
94,Chuy,-33.6971,-53.4616,64.53,78,0,6.42,UY,2021-03-14 22:37:51,clear sky
95,Patea,-39.7583,174.4833,69.01,90,13,1.99,NZ,2021-03-14 22:44:38,few clouds
96,Egvekinot,66.3167,-179.1667,9.61,94,97,4.03,RU,2021-03-14 22:44:39,overcast clouds
97,Vaini,-21.2,-175.2,84.2,70,75,5.75,TO,2021-03-14 22:36:03,broken clouds
98,Puksoozero,62.5903,40.6066,26.01,94,97,6.4,RU,2021-03-14 22:44:39,overcast clouds
99,Leningradskiy,69.3833,178.4167,2.35,94,100,14.2,RU,2021-03-14 22:37:20,light snow
100,Thompson,55.7435,-97.8558,24.8,36,75,9.22,CA,2021-03-14 22:36:32,snow
101,Sharanga,57.1775,46.5396,26.96,95,96,10.96,RU,2021-03-14 22:44:41,light snow
102,Mahebourg,-20.4081,57.7,77.0,94,75,10.54,MU,2021-03-14 22:37:06,broken clouds
103,Aragarcas,-15.8975,-52.2508,74.61,87,69,1.59,BR,2021-03-14 22:44:41,broken clouds
104,Touros,-5.1989,-35.4608,80.6,74,20,9.22,BR,2021-03-14 22:37:58,few clouds
105,Sisimiut,66.9395,-53.6735,8.2,82,97,9.64,GL,2021-03-14 22:44:42,overcast clouds
106,Tasiilaq,65.6145,-37.6368,24.8,68,90,23.02,GL,2021-03-14 22:36:51,light snow
107,Warin Chamrap,15.1932,104.8628,71.6,83,28,3.44,TH,2021-03-14 22:44:42,scattered clouds
108,Aksarka,66.5606,67.7975,12.63,91,99,5.64,RU,2021-03-14 22:44:43,overcast clouds
109,East London,-33.0153,27.9116,73.36,84,80,8.5,ZA,2021-03-14 22:36:37,broken clouds
110,Lompoc,34.6391,-120.4579,55.99,58,1,11.5,US,2021-03-14 22:36:56,clear sky
111,Provideniya,64.3833,-173.3,24.13,94,100,9.46,RU,2021-03-14 22:36:35,snow
112,Komsomolskiy,40.4272,71.7189,30.2,74,100,4.61,UZ,2021-03-14 22:41:00,overcast clouds
113,Carauari,-4.8828,-66.8958,76.78,84,36,2.55,BR,2021-03-14 22:44:44,light rain
114,Bengkulu,-3.8004,102.2655,76.98,85,100,4.45,ID,2021-03-14 22:37:01,overcast clouds
115,Pevek,69.7008,170.3133,-5.96,96,100,15.7,RU,2021-03-14 22:38:12,light snow
116,Shitanjing,39.2342,106.3439,31.35,30,19,5.37,CN,2021-03-14 22:44:45,few clouds
117,Labuhan,-6.8844,112.2051,77.68,84,100,6.04,ID,2021-03-14 22:36:15,overcast clouds
118,Qaanaaq,77.484,-69.3632,-5.1,63,100,5.01,GL,2021-03-14 22:36:08,overcast clouds
119,Plainview,40.7765,-73.4673,43.0,46,62,23.04,US,2021-03-14 22:44:46,broken clouds
120,Carutapera,-1.195,-46.02,76.73,89,74,4.94,BR,2021-03-14 22:44:46,broken clouds
121,Muroto,33.2833,134.15,44.6,81,0,2.3,JP,2021-03-14 22:44:46,clear sky
122,Mayo,38.8876,-76.5119,57.2,26,1,18.41,US,2021-03-14 22:36:45,clear sky
123,Sibolga,1.7427,98.7792,76.15,82,85,3.87,ID,2021-03-14 22:44:47,moderate rain
124,Porto Novo,6.4965,2.6036,78.8,89,20,2.3,BJ,2021-03-14 22:38:19,few clouds
125,San Cristobal,7.7669,-72.225,80.6,65,75,4.61,VE,2021-03-14 22:37:54,broken clouds
126,Moerai,-22.4333,-151.3333,80.64,71,41,9.84,PF,2021-03-14 22:44:48,scattered clouds
127,Takoradi,4.8845,-1.7554,78.53,75,100,2.66,GH,2021-03-14 22:44:48,overcast clouds
128,Xining,36.6167,101.7667,39.51,14,0,0.96,CN,2021-03-14 22:44:49,clear sky
129,North Bend,43.4065,-124.2243,42.8,87,90,13.8,US,2021-03-14 22:36:05,mist
130,Barrow,71.2906,-156.7887,-5.8,77,1,14.97,US,2021-03-14 22:36:02,snow
131,Kavaratti,10.5669,72.642,82.47,68,9,4.34,IN,2021-03-14 22:36:29,clear sky
132,Burnie,-41.0667,145.9167,60.01,82,78,5.99,AU,2021-03-14 22:38:23,broken clouds
133,Barkhan,29.8977,69.5256,59.81,45,44,4.99,PK,2021-03-14 22:44:50,scattered clouds
134,Athabasca,54.7169,-113.2854,44.6,53,62,5.75,CA,2021-03-14 22:44:50,broken clouds
135,Ramanuj Ganj,23.8,83.7,63.63,36,0,3.89,IN,2021-03-14 22:44:50,clear sky
136,Bambous Virieux,-20.3428,57.7575,77.0,94,75,10.45,MU,2021-03-14 22:36:38,light rain
137,Koslan,63.4564,48.8989,24.35,94,98,7.2,RU,2021-03-14 22:44:51,overcast clouds
138,Slupsk,54.4641,17.0287,36.48,90,52,10.51,PL,2021-03-14 22:41:12,broken clouds
